Designator,Mid X,Mid Y,Rotation,Layer
_1620,138.38,123.952,0.0,top
_1619,95.2,136.652,0.0,top
_1618,133.3,151.892,0.0,top
_1617,79.96,65.532,0.0,top
_1616,64.72,101.092,0.0,top
_1615,143.46,144.272,0.0,top
_1614,143.46,111.252,0.0,top
_1613,67.26,88.392,0.0,top
_1612,138.38,151.892,0.0,top
_1611,102.82,73.152,0.0,top
_1610,69.8,45.212,0.0,top
_1609,79.96,52.832,0.0,top
_1608,151.08,134.112,0.0,top
_1607,67.26,50.292,0.0,top
_1606,125.68,93.472,0.0,top
_1605,97.74,83.312,0.0,top
_1604,107.9,121.412,0.0,top
_1603,135.84,126.492,0.0,top
_1602,92.66,73.152,0.0,top
_1601,72.34,70.612,0.0,top
_1600,107.9,106.172,0.0,top
_1599,133.3,98.552,0.0,top
_1598,179.02,93.472,0.0,top
_1597,120.6,101.092,0.0,top
_1596,163.78,154.432,0.0,top
_1595,135.84,70.612,0.0,top
_1594,77.42,111.252,0.0,top
_1593,130.76,75.692,0.0,top
_1592,148.54,108.712,0.0,top
_1591,95.2,101.092,0.0,top
_1590,158.7,50.292,0.0,top
_1589,128.22,78.232,0.0,top
_1588,102.82,139.192,0.0,top
_1587,151.08,154.432,0.0,top
_1586,118.06,55.372,0.0,top
_1585,110.44,93.472,0.0,top
_1584,171.4,118.872,0.0,top
_1583,87.58,45.212,0.0,top
_1582,120.6,98.552,0.0,top
_1581,69.8,70.612,0.0,top
_1580,128.22,96.012,0.0,top
_1579,118.06,96.012,0.0,top
_1578,140.92,50.292,0.0,top
_1577,128.22,98.552,0.0,top
_1576,125.68,62.992,0.0,top
_1575,168.86,126.492,0.0,top
_1574,85.04,80.772,0.0,top
_1573,69.8,111.252,0.0,top
_1572,151.08,113.792,0.0,top
_1571,95.2,78.232,0.0,top
_1570,125.68,113.792,0.0,top
_1569,163.78,52.832,0.0,top
_1568,90.12,123.952,0.0,top
_1567,161.24,121.412,0.0,top
_1566,87.58,111.252,0.0,top
_1565,123.14,131.572,0.0,top
_1564,123.14,118.872,0.0,top
_1563,79.96,101.092,0.0,top
_1562,176.48,106.172,0.0,top
_1561,161.24,98.552,0.0,top
_1560,125.68,129.032,0.0,top
_1559,79.96,154.432,0.0,top
_1558,130.76,151.892,0.0,top
_1557,72.34,68.072,0.0,top
_1556,135.84,62.992,0.0,top
_1555,125.68,108.712,0.0,top
_1554,168.86,57.912,0.0,top
_1553,166.32,146.812,0.0,top
_1552,133.3,116.332,0.0,top
_1551,72.34,129.032,0.0,top
_1550,173.94,70.612,0.0,top
_1549,77.42,83.312,0.0,top
_1548,90.12,52.832,0.0,top
_1547,77.42,80.772,0.0,top
_1546,82.5,68.072,0.0,top
_1545,161.24,70.612,0.0,top
_1544,156.16,139.192,0.0,top
_1543,105.36,101.092,0.0,top
_1542,82.5,111.252,0.0,top
_1541,105.36,154.432,0.0,top
_1540,148.54,96.012,0.0,top
_1539,173.94,75.692,0.0,top
_1538,146.0,78.232,0.0,top
_1537,72.34,93.472,0.0,top
_1536,161.24,154.432,0.0,top
_1535,171.4,62.992,0.0,top
_1534,135.84,50.292,0.0,top
_1533,151.08,106.172,0.0,top
_1532,138.38,45.212,0.0,top
_1531,128.22,50.292,0.0,top
_1530,77.42,144.272,0.0,top
_1529,82.5,141.732,0.0,top
_1528,181.56,96.012,0.0,top
_1527,156.16,149.352,0.0,top
_1526,146.0,141.732,0.0,top
_1525,64.72,154.432,0.0,top
_1524,140.92,88.392,0.0,top
_1523,67.26,75.692,0.0,top
_1522,161.24,50.292,0.0,top
_1521,77.42,47.752,0.0,top
_1520,102.82,146.812,0.0,top
_1519,148.54,47.752,0.0,top
_1518,92.66,131.572,0.0,top
_1517,143.46,62.992,0.0,top
_1516,179.02,149.352,0.0,top
_1515,181.56,151.892,0.0,top
_1514,166.32,103.632,0.0,top
_1513,153.62,129.032,0.0,top
_1512,97.74,134.112,0.0,top
_1511,107.9,68.072,0.0,top
_1510,148.54,50.292,0.0,top
_1509,115.52,139.192,0.0,top
_1508,92.66,88.392,0.0,top
_1507,100.28,88.392,0.0,top
_1506,69.8,139.192,0.0,top
_1505,95.2,144.272,0.0,top
_1504,148.54,151.892,0.0,top
_1503,176.48,65.532,0.0,top
_1502,118.06,98.552,0.0,top
_1501,163.78,90.932,0.0,top
_1500,176.48,126.492,0.0,top
_1499,130.76,85.852,0.0,top
_1498,105.36,116.332,0.0,top
_1497,79.96,78.232,0.0,top
_1496,179.02,98.552,0.0,top
_1495,123.14,154.432,0.0,top
_1494,135.84,131.572,0.0,top
_1493,72.34,144.272,0.0,top
_1492,74.88,60.452,0.0,top
_1491,72.34,50.292,0.0,top
_1490,128.22,131.572,0.0,top
_1489,168.86,134.112,0.0,top
_1488,85.04,47.752,0.0,top
_1487,173.94,113.792,0.0,top
_1486,179.02,144.272,0.0,top
_1485,176.48,85.852,0.0,top
_1484,130.76,45.212,0.0,top
_1483,128.22,113.792,0.0,top
_1482,67.26,78.232,0.0,top
_1481,64.72,47.752,0.0,top
_1480,173.94,80.772,0.0,top
_1479,163.78,101.092,0.0,top
_1478,138.38,65.532,0.0,top
_1477,87.58,144.272,0.0,top
_1476,151.08,68.072,0.0,top
_1475,72.34,118.872,0.0,top
_1474,87.58,123.952,0.0,top
_1473,95.2,90.932,0.0,top
_1472,168.86,101.092,0.0,top
_1471,171.4,101.092,0.0,top
_1470,151.08,45.212,0.0,top
_1469,138.38,126.492,0.0,top
_1468,62.18,113.792,0.0,top
_1467,115.52,85.852,0.0,top
_1466,115.52,108.712,0.0,top
_1465,128.22,116.332,0.0,top
_1464,151.08,146.812,0.0,top
_1463,173.94,101.092,0.0,top
_1462,138.38,60.452,0.0,top
_1461,123.14,75.692,0.0,top
_1460,100.28,149.352,0.0,top
_1459,148.54,141.732,0.0,top
_1458,102.82,118.872,0.0,top
_1457,100.28,131.572,0.0,top
_1456,158.7,139.192,0.0,top
_1455,72.34,90.932,0.0,top
_1454,163.78,118.872,0.0,top
_1453,69.8,50.292,0.0,top
_1452,133.3,121.412,0.0,top
_1451,166.32,131.572,0.0,top
_1450,82.5,101.092,0.0,top
_1449,173.94,93.472,0.0,top
_1448,133.3,62.992,0.0,top
_1447,95.2,73.152,0.0,top
_1446,148.54,62.992,0.0,top
_1445,85.04,144.272,0.0,top
_1444,173.94,116.332,0.0,top
_1443,72.34,88.392,0.0,top
_1442,161.24,57.912,0.0,top
_1441,87.58,146.812,0.0,top
_1440,74.88,62.992,0.0,top
_1439,118.06,154.432,0.0,top
_1438,125.68,98.552,0.0,top
_1437,90.12,83.312,0.0,top
_1436,100.28,52.832,0.0,top
_1435,133.3,85.852,0.0,top
_1434,69.8,151.892,0.0,top
_1433,120.6,93.472,0.0,top
_1432,110.44,108.712,0.0,top
_1431,110.44,65.532,0.0,top
_1430,110.44,116.332,0.0,top
_1429,173.94,52.832,0.0,top
_1428,153.62,73.152,0.0,top
_1427,135.84,75.692,0.0,top
_1426,138.38,113.792,0.0,top
_1425,102.82,47.752,0.0,top
_1424,79.96,144.272,0.0,top
_1423,112.98,111.252,0.0,top
_1422,143.46,101.092,0.0,top
_1421,112.98,90.932,0.0,top
_1420,77.42,134.112,0.0,top
_1419,125.68,70.612,0.0,top
_1418,79.96,123.952,0.0,top
_1417,102.82,70.612,0.0,top
_1416,163.78,62.992,0.0,top
_1415,179.02,154.432,0.0,top
_1414,173.94,50.292,0.0,top
_1413,72.34,85.852,0.0,top
_1412,120.6,106.172,0.0,top
_1411,107.9,96.012,0.0,top
_1410,79.96,85.852,0.0,top
_1409,146.0,146.812,0.0,top
_1408,176.48,144.272,0.0,top
_1407,163.78,80.772,0.0,top
_1406,105.36,75.692,0.0,top
_1405,105.36,96.012,0.0,top
_1404,92.66,154.432,0.0,top
_1403,173.94,129.032,0.0,top
_1402,158.7,116.332,0.0,top
_1401,140.92,98.552,0.0,top
_1400,112.98,47.752,0.0,top
_1399,64.72,60.452,0.0,top
_1398,64.72,98.552,0.0,top
_1397,90.12,80.772,0.0,top
_1396,112.98,116.332,0.0,top
_1395,64.72,146.812,0.0,top
_1394,156.16,144.272,0.0,top
_1393,120.6,129.032,0.0,top
_1392,163.78,88.392,0.0,top
_1391,100.28,93.472,0.0,top
_1390,171.4,113.792,0.0,top
_1389,69.8,118.872,0.0,top
_1388,168.86,121.412,0.0,top
_1387,153.62,126.492,0.0,top
_1386,151.08,57.912,0.0,top
_1385,90.12,90.932,0.0,top
_1384,112.98,123.952,0.0,top
_1383,140.92,108.712,0.0,top
_1382,151.08,101.092,0.0,top
_1381,133.3,103.632,0.0,top
_1380,82.5,75.692,0.0,top
_1379,82.5,134.112,0.0,top
_1378,87.58,65.532,0.0,top
_1377,97.74,60.452,0.0,top
_1376,62.18,118.872,0.0,top
_1375,128.22,88.392,0.0,top
_1374,62.18,149.352,0.0,top
_1373,90.12,116.332,0.0,top
_1372,148.54,78.232,0.0,top
_1371,87.58,154.432,0.0,top
_1370,87.58,101.092,0.0,top
_1369,173.94,73.152,0.0,top
_1368,153.62,55.372,0.0,top
_1367,143.46,103.632,0.0,top
_1366,72.34,45.212,0.0,top
_1365,135.84,136.652,0.0,top
_1364,64.72,106.172,0.0,top
_1363,74.88,111.252,0.0,top
_1362,107.9,111.252,0.0,top
_1361,97.74,136.652,0.0,top
_1360,105.36,118.872,0.0,top
_1359,130.76,47.752,0.0,top
