Designator,Mid X,Mid Y,Rotation,Layer
_142,133.3,50.292,0.0,top
_141,179.02,149.352,0.0,top
_140,118.06,70.612,0.0,top
_139,120.6,65.532,0.0,top
_138,143.46,47.752,0.0,top
_137,123.14,55.372,0.0,top
_136,115.52,113.760388,0.0,top
_135,128.22,129.032,0.0,top
_134,173.94,149.352,0.0,top
_133,184.1,78.232,0.0,top
_132,128.22,42.672,0.0,top
_131,123.14,106.172,0.0,top
_130,107.9,47.752,0.0,top
_129,168.86,52.832,0.0,top
_128,77.42,55.372,0.0,top
_127,181.56,62.992,0.0,top
_126,120.6,80.772,0.0,top
_125,112.98,55.372,0.0,top
_124,181.56,70.612,0.0,top
_123,163.78,146.812,0.0,top
_122,176.48,149.352,0.0,top
_121,166.32,151.892,0.0,top
_120,176.48,40.132,0.0,top
_119,146.0,129.032,0.0,top
_118,125.68,88.392,0.0,top
_117,135.84,50.292,0.0,top
_116,135.84,129.063612,0.0,top
_115,102.82,42.672,0.0,top
_114,69.8,126.492,0.0,top
_113,161.24,42.672,0.0,top
_112,156.16,47.752,0.0,top
_111,168.86,50.292,0.0,top
_110,72.34,60.420388,0.0,top
_109,110.44,96.012,0.0,top
_108,120.6,85.852,0.0,top
_107,176.48,42.672,0.0,top
_106,118.06,113.760388,0.0,top
_105,123.098968,90.932,0.0,top
_104,151.08,50.292,0.0,top
_103,123.14,75.692,0.0,top
_102,62.18,65.500388,0.0,top
_101,156.16,50.292,0.0,top
_100,118.06,85.852,0.0,top
_99,171.4,149.383612,0.0,top
_98,179.02,62.992,0.0,top
_97,163.78,47.752,0.0,top
_96,143.46,45.212,0.0,top
_95,138.38,50.292,0.0,top
_94,184.1,93.472,0.0,top
_93,67.26,60.420388,0.0,top
_92,181.56,52.832,0.0,top
_91,62.18,57.880388,0.0,top
_90,115.52,52.832,0.0,top
_89,163.78,52.832,0.0,top
_88,130.76,50.292,0.0,top
_87,112.98,40.132,0.0,top
_86,110.44,52.832,0.0,top
_85,100.28,42.672,0.0,top
_84,146.0,40.132,0.0,top
_83,135.84,47.752,0.0,top
_82,118.018968,90.963612,0.0,top
_81,181.56,80.772,0.0,top
_80,69.8,146.812,0.0,top
_79,123.14,93.472,0.0,top
_78,161.24,47.752,0.0,top
_77,64.72,149.352,0.0,top
_76,168.86,45.212,0.0,top
_75,184.1,60.452,0.0,top
_74,153.62,129.032,0.0,top
_73,184.1,85.852,0.0,top
_72,168.86,42.672,0.0,top
_71,184.1,57.912,0.0,top
_70,128.145681,47.752,0.0,top
_69,125.68,57.912,0.0,top
_68,112.98,96.012,0.0,top
_67,128.22,70.612,0.0,top
_66,166.32,40.132,0.0,top
_65,158.7,40.132,0.0,top
_64,77.42,149.352,0.0,top
_63,125.68,55.372,0.0,top
_62,153.62,40.132,0.0,top
_61,158.7,47.752,0.0,top
_60,120.6,62.992,0.0,top
_59,115.52,50.292,0.0,top
_58,184.1,65.532,0.0,top
_57,146.0,50.292,0.0,top
_56,153.62,45.212,0.0,top
_55,179.02,45.212,0.0,top
_54,179.02,52.832,0.0,top
_53,176.48,55.372,0.0,top
_52,107.9,42.672,0.0,top
_51,146.0,45.212,0.0,top
_50,123.14,85.852,0.0,top
_49,148.54,129.032,0.0,top
_48,171.4,40.132,0.0,top
_47,156.16,45.212,0.0,top
_46,135.84,42.672,0.0,top
_45,151.08,40.132,0.0,top
_44,148.54,50.292,0.0,top
_43,64.72,146.812,0.0,top
_42,143.46,129.032,0.0,top
_41,181.56,83.312,0.0,top
_40,125.68,78.232,0.0,top
_39,57.1,65.500388,0.0,top
_38,171.4,55.372,0.0,top
_37,115.52,40.132,0.0,top
_36,123.14,68.072,0.0,top
_35,171.4,45.212,0.0,top
_34,105.36,55.372,0.0,top
_33,184.1,68.072,0.0,top
_32,67.26,57.880388,0.0,top
_31,105.36,50.292,0.0,top
_30,72.34,149.352,0.0,top
_29,123.14,96.012,0.0,top
_28,112.98,52.832,0.0,top
_27,120.558968,90.932,0.0,top
_26,173.94,40.132,0.0,top
_25,153.62,42.672,0.0,top
_24,161.24,40.132,0.0,top
_23,120.6,52.832,0.0,top
_22,100.28,40.132,0.0,top
_21,128.22,80.772,0.0,top
_20,128.22,83.312,0.0,top
_19,156.16,129.063612,0.0,top
_18,173.94,47.752,0.0,top
_17,57.1,57.880388,0.0,top
_16,176.48,45.212,0.0,top
_15,105.36,52.832,0.0,top
_14,77.42,62.992,0.0,top
_13,57.1,60.420388,0.0,top
_12,148.54,40.132,0.0,top
_11,130.76,40.132,0.0,top
_10,184.1,83.312,0.0,top
_9,105.36,47.752,0.0,top
_8,120.6,60.452,0.0,top
_7,130.76,45.212,0.0,top
_6,128.22,62.992,0.0,top
_5,118.06,68.072,0.0,top
_4,163.78,45.212,0.0,top
_3,179.02,40.132,0.0,top
_2,163.78,151.892,0.0,top
,77.42,57.912,0.0,top
A1,90.12,113.792,270.0,top
A2,151.08,113.792,270.0,top
C1,95.2,160.802,270.0,top
C10,115.52,62.992,270.0,top
C11,151.12,78.232,0.0,top
C12,173.94,83.352,270.0,top
C13,176.48,83.352,270.0,top
C14,173.94,63.032,270.0,top
C15,176.48,63.032,270.0,top
C16,81.992,151.932,270.0,top
C2,90.16,98.552,0.0,top
C3,112.98,83.392,270.0,top
C4,90.08,78.232,0.0,top
C5,115.52,83.312,270.0,top
C6,168.82,102.997,180.0,top
C7,112.98,62.912,270.0,top
C8,107.86,102.997,180.0,top
C9,151.04,98.552,0.0,top
D1,84.786,151.892,90.0,top
IC10,139.65,140.462,90.0,top
IC6,99.01,136.652,90.0,top
IC9,165.05,140.462,90.0,top
J2,129.49,163.322,0.0,top
J3,64.72,82.042,0.0,top
J4,64.72,99.822,0.0,top
J5,64.72,137.922,0.0,top
R1,104.09,85.852,0.0,top
R10,165.05,85.852,0.0,top
R11,171.4,82.042,90.0,top
R12,144.73,65.532,180.0,top
R13,165.05,65.532,0.0,top
R14,171.4,61.722,90.0,top
R15,139.65,80.772,0.0,top
R16,137.11,78.232,0.0,top
R17,87.58,49.022,270.0,top
R18,95.2,49.022,270.0,top
R19,72.34,49.022,270.0,top
R2,110.44,82.082,90.0,top
R20,79.96,49.022,270.0,top
R21,87.453,150.622,270.0,top
R22,65.99,131.572,180.0,top
R23,137.11,63.119,180.0,top
R3,104.09,65.532,0.0,top
R4,110.44,61.682,90.0,top
R5,78.69,80.772,0.0,top
R6,76.15,78.232,0.0,top
R7,83.77,85.852,180.0,top
R8,83.77,65.532,180.0,top
R9,144.73,85.852,180.0,top
RA1,100.28,146.939,180.0,top
U1,147.27,56.642,90.0,top
U2,88.85,92.202,90.0,top
U3,88.85,71.882,90.0,top
U4,149.81,92.202,90.0,top
U5,149.81,71.882,90.0,top
V1,72.34,41.402,270.0,top
V2,79.96,41.402,270.0,top
V3,87.58,41.402,270.0,top
V4,95.2,41.402,270.0,top
VOUT1,123.1,45.462,90.0,top
